llparte,CodAcc2,aaaa,mes,dia,dia_mes,hora,horarecode,Ncod_canton,Ncod_distrito,NX_WGS84,NY_WGS84,lugar_hechos,Total_Involucrados,dano_ileso_sum,dano_leve_sum,dano_grave_sum,dano_muerto_sum
2014-10000023,Colisión entre vehículos,2014,Enero,Martes,28,10,06:00-11:59,Heredia,Heredia,-84.11672,9.998029999,Heredia-Heredia-Heredia AV 2 CALLE 0,3,2,1,0,0
2014-10000053,Colisión entre vehículos,2014,Febrero,Sábado,15,12,12:00-17:59,Heredia,Heredia,-84.12187667,10.003475,Heredia-Heredia-Heredia AV 9 CALLE 12,3,2,1,0,0
2014-10000075,Colisión entre vehículos,2014,Marzo,Sábado,1,12,12:00-17:59,Heredia,Mercedes,-84.12455333,10.01608,Heredia-Heredia-Mercedes 100 OESTE 200 SUR  OFIC SCOUTS BARVA,2,1,1,0,0
2014-10000077,Colisión entre vehículos,2014,Marzo,Domingo,2,14,12:00-17:59,Heredia,Mercedes,-84.1332,9.998299997,Heredia-Heredia-Mercedes 200 OESTE 200 SUR PLAZA DEPORTES DE B SN JORGE,2,1,1,0,0
2014-10000078,Colisión entre vehículos,2014,Marzo,Domingo,2,16,12:00-17:59,Heredia,Heredia,-84.10927815,9.993464964,Heredia-Heredia-Heredia SEMAFOROS ASILO ANSIANOS LA PUEBLA,5,0,4,1,0
2014-10000079,Colisión entre vehículos,2014,Marzo,Domingo,2,21,18:00-23:59,Heredia,Heredia,-84.1201,9.99835,Heredia-Heredia-Heredia AV 2 CALLE 8,4,2,2,0,0
2014-10000096,Colisión entre vehículos,2014,Marzo,Jueves,13,7,06:00-11:59,Heredia,Heredia,-84.11922,10.00427,Heredia-Heredia-Heredia AV 11 CALLE 6,2,1,1,0,0
2014-10000117,Colisión entre vehículos,2014,Marzo,Jueves,27,7,06:00-11:59,Heredia,Heredia,-84.11589,10.00052,Heredia-Heredia-Heredia AV 3 CALLE 1 HEREDIA,3,2,1,0,0
2014-10000131,Colisión entre vehículos,2014,Abril,Lunes,7,6,06:00-11:59,Heredia,Heredia,-84.12182,9.995989996,Heredia-Heredia-Heredia AV 8 CALLE 12,3,1,2,0,0
2014-10000135,Colisión entre vehículos,2014,Abril,Martes,8,9,06:00-11:59,Heredia,Heredia,-84.11666833,9.999309999,Heredia-Heredia-Heredia AV 3 CALLE 0 HEREDIA,2,1,1,0,0
2014-10000143,Colisión entre vehículos,2014,Abril,Viernes,11,9,06:00-11:59,Heredia,Heredia,-84.12182,9.99678,Heredia-Heredia-Heredia AV 6 CALLE 12 HEREDIA,2,1,1,0,0
2014-10000179,Colisión entre vehículos,2014,Mayo,Sábado,17,13,12:00-17:59,Heredia,Heredia,-84.1168,10.00305,Heredia-Heredia-Heredia AV 9 CALLE 0,4,3,1,0,0
2014-10000228,Colisión entre vehículos,2014,Junio,Miércoles,25,18,18:00-23:59,Heredia,Heredia,-84.121755,9.993196669,Heredia-Heredia-Heredia AV 14 CALLE  12,2,1,1,0,0
2014-10000238,Colisión entre vehículos,2014,Julio,Viernes,4,9,06:00-11:59,Heredia,Heredia,-84.11932167,9.998213332,Heredia-Heredia-Heredia AV 2 CALLE 6,3,1,2,0,0
2014-10000246,Colisión entre vehículos,2014,Julio,Martes,8,20,18:00-23:59,Heredia,Heredia,-84.112495,9.999691663,Heredia-Heredia-Heredia AV 1 Y 3 CALLE  9,2,1,1,0,0
2014-10000271,Colisión entre vehículos,2014,Agosto,Lunes,4,17,12:00-17:59,Heredia,Mercedes,-84.11768167,10.00670834,Heredia-Heredia-Mercedes 100 NORTE AUTO MERCADO,3,2,1,0,0
2014-10000272,Colisión entre vehículos,2014,Agosto,Lunes,4,20,18:00-23:59,Heredia,Heredia,-84.11318333,9.995196665,Heredia-Heredia-Heredia AV 8 CALLE  7,2,1,1,0,0
2014-10000314,Colisión entre vehículos,2014,Octubre,Viernes,31,16,12:00-17:59,Heredia,Heredia,-84.11429,10.00373333,Heredia-Heredia-Heredia AV 11 CALLE 7,5,1,4,0,0
2014-10000335,Colisión entre vehículos,2014,Noviembre,Jueves,13,14,12:00-17:59,Heredia,Heredia,-84.11676833,10.00315333,Heredia-Heredia-Heredia AV 9 CALLE  0,3,2,1,0,0
2014-10000350,Colisión entre vehículos,2014,Noviembre,Jueves,20,13,12:00-17:59,Heredia,Heredia,-84.11411,9.999716666,Heredia-Heredia-Heredia AV 1 CALLE  5,2,1,1,0,0
2014-10000352,Colisión entre vehículos,2014,Noviembre,Domingo,23,14,12:00-17:59,Heredia,Heredia,-84.1201,9.995820001,Heredia-Heredia-Heredia AV 8 CALLE 8,5,3,2,0,0
2014-10000384,Colisión entre vehículos,2014,Diciembre,Sábado,13,21,18:00-23:59,Heredia,Ulloa,-84.14185833,9.978993338,Heredia-Heredia-Ulloa FRENTE A MAYCA  COSTADO NORTE PEPSI,3,2,1,0,0
2014-1300007,Colisión entre vehículos,2014,Marzo,Viernes,21,7,06:00-11:59,Heredia,Ulloa,-84.10964452,9.961391323,Heredia-Heredia-Ulloa PUENTE SOBRE RIO VIRILLA LADO DE HEREDIA,3,2,1,0,0
2014-15000005,Colisión entre vehículos,2014,Febrero,Miércoles,5,7,06:00-11:59,Heredia,Heredia,-84.11927,10.00233465,Heredia-Heredia-Heredia Frente a Taberna Fatima,2,1,1,0,0
2014-15000022,Colisión entre vehículos,2014,Marzo,Lunes,17,12,12:00-17:59,Heredia,San Francisco,-84.13363464,9.996306377,Heredia-Heredia-San Francisco Ruta 3 Antiguo autos Bolaños frente a veinsa,3,2,1,0,0
2014-15000069,Colisión entre vehículos,2014,Julio,Lunes,14,8,06:00-11:59,Heredia,Mercedes,-84.13187,9.997680003,Heredia-Heredia-San Francisco Escuela San Francisco 100 Norte Panaderia La Bagu,3,1,2,0,0
2014-213200052,Colisión entre vehículos,2014,Febrero,Jueves,13,20,18:00-23:59,Heredia,Heredia,-84.11704333,10.00309666,Heredia-Heredia-Heredia 100 metros norte del colegio vocacional de HEREDIA,3,2,1,0,0
2014-213200109,Colisión entre vehículos,2014,Mayo,Sábado,24,21,18:00-23:59,Heredia,Mercedes,-84.13114167,10.00686167,Heredia-Heredia-Mercedes esqquina sureste del parque de mercedes norte,3,2,1,0,0
2014-213200113,Colisión entre vehículos,2014,Junio,Viernes,13,1,00:00-05:59,Heredia,San Francisco,-84.11144833,9.989566665,Heredia-Heredia-San Francisco ruta  3 frente a el palacio de la ceramica,4,2,2,0,0
2014-213200131,Colisión entre vehículos,2014,Julio,Viernes,4,1,00:00-05:59,Heredia,San Francisco,-84.13411,9.99639,Heredia-Heredia-San Francisco ruta 3 75 metros oeste de autos Bola├▒os,3,1,0,2,0
2014-222600004,Colisión entre vehículos,2014,Marzo,Lunes,31,17,12:00-17:59,Heredia,San Francisco,-84.14941003,9.990893722,Heredia-Heredia-San Francisco La Aurora fte a Direccion Regional Fuerza Publica,2,1,1,0,0
2014-222600043,Colisión entre vehículos,2014,Junio,Jueves,5,21,18:00-23:59,Heredia,San Francisco,-84.13715656,9.996963797,"Heredia-Heredia-San Francisco Heredia, Ruta 3, fte a Autodecoracion Siglo XXI.",3,2,1,0,0
2014-222600061,Colisión entre vehículos,2014,Julio,Miércoles,9,9,06:00-11:59,Heredia,San Francisco,-84.11141304,9.977221237,Heredia-Heredia-San Francisco Los Lagos Fte a Centro Comercial Heredia 2000,13,2,11,0,0
2014-222600099,Colisión entre vehículos,2014,Setiembre,Martes,9,9,06:00-11:59,Heredia,Ulloa,-84.14867994,9.988937386,Heredia-Heredia-San Francisco La Aurora 200 Este de Semaforos fte a Iglesia Cri,2,1,1,0,0
2014-222600108,Colisión entre vehículos,2014,Setiembre,Lunes,22,8,06:00-11:59,Heredia,Ulloa,-84.15389768,9.986663419,Heredia-Heredia-San Francisco La Aurora fte a DHL,2,1,1,0,0
2014-222600110,Colisión entre vehículos,2014,Setiembre,Jueves,25,13,12:00-17:59,Heredia,San Francisco,-84.12704251,9.990877758,Heredia-Heredia-Heredia Urb La Esmeralda fte Lubricentro La Esmeralda,2,1,1,0,0
2014-222600161,Colisión entre vehículos,2014,Diciembre,Lunes,29,11,06:00-11:59,Heredia,Heredia,-84.11589,10.00136,Heredia-Heredia-Heredia Esquina Nor-Oeste Parque Embarazadas,4,0,4,0,0
2014-231000135,Colisión entre vehículos,2014,Junio,Viernes,6,6,06:00-11:59,Heredia,Ulloa,-84.13797833,9.969378334,San José-San José-Uruca Ruta 1 sentido 1-2 del Hospital Mexico 600mts hacia Alaj,4,2,2,0,0
2014-232500133,Colisión entre vehículos,2014,Agosto,Domingo,24,16,12:00-17:59,Heredia,Ulloa,-84.14529838,9.972497777,Heredia-Heredia-Ulloa Heredia-Sobre ruta 1- San José-Alajuela-Kilometro 8 Aprox,8,5,1,2,0
2014-233100001,Colisión entre vehículos,2014,Enero,Miércoles,1,3,00:00-05:59,Heredia,Heredia,-84.11925,9.999900005,Heredia-Heredia-Heredia costado noroeste de la funeraria del magisterio,2,1,1,0,0
2014-233100018,Colisión entre vehículos,2014,Febrero,Domingo,2,1,00:00-05:59,Heredia,Ulloa,-84.11393653,9.969461901,Heredia-Heredia-Ulloa de los semaforos de la valencia 150mts  norte,3,2,1,0,0
2014-233100031,Colisión entre vehículos,2014,Febrero,Viernes,21,23,18:00-23:59,Heredia,San Francisco,-84.12825,9.996039997,Heredia-Heredia-Heredia cruce de semaforos costado norte de   walmart,4,3,1,0,0
2014-233100047,Colisión entre vehículos,2014,Marzo,Domingo,23,0,00:00-05:59,Heredia,Heredia,-84.12221,9.997675,Heredia-Heredia-Heredia costado sur de la escuela molla,7,2,4,1,0
2014-233100073,Colisión entre vehículos,2014,Mayo,Martes,13,23,18:00-23:59,Heredia,Heredia,-84.12097,9.997569997,Heredia-Heredia-Heredia cruce del bar mulo,4,3,1,0,0
2014-233900045,Colisión entre vehículos,2014,Febrero,Viernes,28,17,12:00-17:59,Heredia,Heredia,-84.11933,10.00337834,Heredia-Heredia-Heredia 25MTS  NORTE DE LA IGLESIA CATÓLICA DE FATIMA,3,1,2,0,0
2014-234800024,Colisión entre vehículos,2014,Enero,Sábado,25,19,18:00-23:59,Heredia,San Francisco,-84.14904,9.990930001,Heredia-Heredia-San Francisco LA AURORA 200 SUR DE LA GUARDIA CIVEL DE LA AUROR,3,2,1,0,0
2014-234800057,Colisión entre vehículos,2014,Febrero,Jueves,20,17,12:00-17:59,Heredia,Heredia,-84.11927,10.00256589,Heredia-Heredia-Heredia 50 NORTE DE LA IGLESIA CATOLICA DE FATIMA,3,2,1,0,0
2014-234800113,Colisión entre vehículos,2014,Abril,Viernes,11,13,12:00-17:59,Heredia,Heredia,-84.11244,9.997570004,Heredia-Heredia-Heredia CRUCE DE BURGER KING,2,1,1,0,0
2014-234800188,Colisión entre vehículos,2014,Junio,Sábado,21,8,06:00-11:59,Heredia,San Francisco,-84.14371719,9.99846409,Heredia-Heredia-San Francisco RUTA TRES 25  ESTE DE PLAZA ACASIA CUESTA LA PANC,5,3,2,0,0
2014-234800272,Colisión entre vehículos,2014,Agosto,Domingo,24,11,06:00-11:59,Heredia,Heredia,-84.11333077,10.00277625,Heredia-Heredia-Heredia 100 NORTE DEL HOTEL BALLADOLID,4,3,1,0,0
2014-236400134,Colisión entre vehículos,2014,Mayo,Lunes,19,18,18:00-23:59,Heredia,San Francisco,-84.12858,9.992769996,Heredia-Heredia-San Francisco Residencial Doña Emiliade la Pops 100 al sur y 10,4,3,1,0,0
2014-236400149,Colisión entre vehículos,2014,Junio,Domingo,8,11,06:00-11:59,Heredia,Heredia,-84.1226,9.997710002,Heredia-Heredia-Heredia Cruce entre calle central 14 y avenida 04,3,2,1,0,0
2014-236400179,Colisión entre vehículos,2014,Julio,Martes,29,14,12:00-17:59,Heredia,Mercedes,-84.13183,9.999499996,Heredia-Heredia-Mercedes Mercedes Sur intersección entre avenida 2 y calle 32,4,2,2,0,0
2014-236400203,Colisión entre vehículos,2014,Agosto,Viernes,22,12,12:00-17:59,Heredia,Heredia,-84.11416,10.00035,Heredia-Heredia-Heredia Cruce entre calle 5 avenida 3,3,1,2,0,0
2014-236400290,Colisión entre vehículos,2014,Diciembre,Sábado,20,5,00:00-05:59,Heredia,Mercedes,-84.13057116,9.998768926,Heredia-Heredia-Mercedes Cruce entre calle 30 y  avenida 2A,3,2,1,0,0
2014-236400297,Colisión entre vehículos,2014,Diciembre,Domingo,28,7,06:00-11:59,Heredia,San Francisco,-84.12833908,9.996039999,Heredia-Heredia-San Francisco Frente a Plaza Gariana,3,2,1,0,0
2014-237400029,Colisión entre vehículos,2014,Marzo,Jueves,13,6,06:00-11:59,Heredia,Heredia,-84.12097,10.00011,Heredia-Heredia-Heredia CALLE 10 AVENIDA 1,2,1,1,0,0
2014-237400072,Colisión entre vehículos,2014,Mayo,Jueves,15,14,12:00-17:59,Heredia,Mercedes,-84.13325,9.999640004,Heredia-Heredia-Heredia 1klm oesste de esquina sur oeste de estadioo heredia,4,1,1,2,0
2014-237400099,Colisión entre vehículos,2014,Junio,Viernes,13,10,06:00-11:59,Heredia,Ulloa,-84.11405929,9.971191992,Heredia-Heredia-Heredia RUTA 3 DE CRUSE LA VALENCIA 300 NORTE ENTRANDO A PUENTE,6,1,5,0,0
2014-238200039,Colisión entre vehículos,2014,Marzo,Domingo,30,11,06:00-11:59,Heredia,Heredia,-84.11423167,10.00035,Heredia-Heredia-Heredia 100 este de parque las embarazadas,2,1,1,0,0
2014-238200046,Colisión entre vehículos,2014,Abril,Miércoles,9,19,18:00-23:59,Heredia,Heredia,-84.111635,9.991968335,Heredia-Heredia-Heredia RUTA 3 VUELTA PIRRO CRUCE FERROCARRIL,1,0,1,0,0
2014-238200053,Colisión entre vehículos,2014,Abril,Martes,29,7,06:00-11:59,Heredia,Heredia,-84.11852167,9.998251666,Heredia-Heredia-Heredia Diagonal a Arenas,3,1,2,0,0
2014-238200070,Colisión entre vehículos,2014,Mayo,Jueves,29,8,06:00-11:59,Heredia,Heredia,-84.112305,9.992829997,Heredia-Heredia-Heredia CONTIGUO UNIVERSIDAD HISPANOAMERICANA FRENTE AUTOZONA,2,1,1,0,0
2014-238200115,Colisión entre vehículos,2014,Julio,Jueves,24,17,12:00-17:59,Heredia,Heredia,-84.11888333,10.003255,Heredia-Heredia-Heredia DIAGONAL A ESQUINA SUROESTE DEL VOCACIONAL,3,1,2,0,0
2014-238400004,Colisión entre vehículos,2014,Enero,Miércoles,8,21,18:00-23:59,Heredia,Heredia,-84.12097833,10.001865,Heredia-Heredia-Heredia Barrio Fatima;de Funeraria La Piedad;50 metros norte,3,2,1,0,0
2014-238400049,Colisión entre vehículos,2014,Marzo,Miércoles,5,18,18:00-23:59,Heredia,Heredia,-84.11740833,9.999001665,Heredia-Heredia-Heredia Avenida 0;frente al Correo,4,3,1,0,0
2014-238400087,Colisión entre vehículos,2014,Abril,Miércoles,2,15,12:00-17:59,Heredia,San Francisco,-84.14224167,9.998150005,Heredia-Heredia-San Francisco De Clinica Quiropractica;300 metros oeste,2,1,1,0,0
2014-238400132,Colisión entre vehículos,2014,Mayo,Jueves,15,21,18:00-23:59,Heredia,Heredia,-84.11426333,9.996076665,Heredia-Heredia-Heredia Av. 6;calle 5.Diagonal a Bomba El Carmen.,5,1,4,0,0
2014-238400139,Colisión entre vehículos,2014,Mayo,Martes,20,7,06:00-11:59,Heredia,San Francisco,-84.13603667,9.991669997,Heredia-Heredia-San Francisco Del Bar La Deportiva;100 metros oeste,4,2,2,0,0
2014-238400162,Colisión entre vehículos,2014,Junio,Sábado,14,18,18:00-23:59,Heredia,Heredia,-84.11421167,9.996861668,Heredia-Heredia-Heredia Avenida 6;calle 5;diagonal BOMBA EL CARMEN,2,1,1,0,0
2014-238400179,Colisión entre vehículos,2014,Junio,Sábado,28,14,12:00-17:59,Heredia,Heredia,-84.11422333,10.00025833,Heredia-Heredia-Heredia Avenida 3;calle 5,2,1,1,0,0
2014-238400193,Colisión entre vehículos,2014,Julio,Sábado,19,11,06:00-11:59,Heredia,San Francisco,-84.11847167,9.978906666,Heredia-Heredia-San Francisco Guarari;Frente a Escuela /,4,2,2,0,0
2014-238400211,Colisión entre vehículos,2014,Agosto,Jueves,28,11,06:00-11:59,Heredia,San Francisco,-84.11047333,9.987140003,Heredia-Heredia-San Francisco De Plaza BRATSI;100 metros sur,3,2,1,0,0
2014-238400216,Colisión entre vehículos,2014,Agosto,Sábado,30,10,06:00-11:59,Heredia,Mercedes,-84.13381333,9.998246666,Heredia-Heredia-Mercedes De Plaza San Jorge;100 metros sur,2,1,1,0,0
2014-238400255,Colisión entre vehículos,2014,Setiembre,Domingo,28,19,18:00-23:59,Heredia,Heredia,-84.11416,9.999400003,Heredia-Heredia-Heredia Avenida: 1;Calle 5,4,2,2,0,0
2014-238400337,Colisión entre vehículos,2014,Noviembre,Jueves,27,17,12:00-17:59,Heredia,Heredia,-84.11581667,10.00097334,Heredia-Heredia-Heredia Diagonal a Gymnasio de Liceo/,3,1,2,0,0
2014-238800047,Colisión entre vehículos,2014,Marzo,Viernes,7,19,18:00-23:59,Heredia,Heredia,-84.12342333,10.00038,Heredia-Heredia-Heredia AVENIDA 1 CALLE 16,3,1,2,0,0
2014-238800073,Colisión entre vehículos,2014,Marzo,Lunes,31,18,18:00-23:59,Heredia,Mercedes,-84.12913667,9.997748337,Heredia-Heredia-San Francisco WALMART 200MTS NORTE 50MTS OESTE,2,1,1,0,0
2014-238800175,Colisión entre vehículos,2014,Setiembre,Domingo,14,3,00:00-05:59,Heredia,Mercedes,-84.12266,10.01349833,Heredia-Heredia-Mercedes MERCEDES NORTE LICORERA TAURUS 100MTS OESTE,3,2,1,0,0
2014-238800203,Colisión entre vehículos,2014,Noviembre,Domingo,9,0,00:00-05:59,Heredia,Ulloa,-84.12154655,9.96759871,Heredia-Heredia-Ulloa LAGUNILLA FRENTE ESCUELA VILLALOBOS,3,1,2,0,0
2014-240000151,Colisión entre vehículos,2014,Diciembre,Miércoles,24,3,00:00-05:59,Heredia,Ulloa,-84.15070064,9.974516586,Heredia-Belén-La Rivera CONTINUO A SALIDA DE LOS ARCOS SENTIDO ALAJUELA  SAN JO,2,1,1,0,0
2014-241600005,Colisión entre vehículos,2014,Enero,Domingo,5,18,18:00-23:59,Heredia,Heredia,-84.11302833,9.999730001,Heredia-Heredia-Heredia FRENTE A RADIO VICTORIA,4,2,2,0,0
2014-241600008,Colisión entre vehículos,2014,Enero,Miércoles,8,17,12:00-17:59,Heredia,Heredia,-84.11131,9.99076,Heredia-Heredia-Heredia RUTA 3 FRENTE A  SUPER MIRAFLORES,1,0,1,0,0
2014-241600045,Colisión entre vehículos,2014,Marzo,Jueves,6,12,12:00-17:59,Heredia,Heredia,-84.11684333,10.00301,Heredia-Heredia-Heredia FRENTE A PANADERIA ESPALAN,4,1,3,0,0
2014-241600107,Colisión entre vehículos,2014,Mayo,Martes,27,9,06:00-11:59,Heredia,Heredia,-84.11399833,10.00288167,Heredia-Heredia-Heredia FRENTE A  POLLOS  CANTOR,4,3,1,0,0
2014-241600125,Colisión entre vehículos,2014,Junio,Lunes,30,14,12:00-17:59,Heredia,Mercedes,-84.13024,10.00050333,Heredia-Heredia-Mercedes DEL COLEGIO  SAMUEL SAENZ 250MTS  NORTE Y   250  OESTE,2,1,1,0,0
2014-241600185,Colisión entre vehículos,2014,Agosto,Miércoles,20,11,06:00-11:59,Heredia,Heredia,-84.11315167,10.00248,Heredia-Heredia-Heredia 100MTS NORTE DE HOTEL VALLADOLID,3,2,1,0,0
2014-241600229,Colisión entre vehículos,2014,Setiembre,Martes,16,10,06:00-11:59,Heredia,Ulloa,-84.15815333,9.982959997,Heredia-Heredia-Ulloa DIAGONAL A BOMBA 1,2,1,1,0,0
2014-241600234,Colisión entre vehículos,2014,Setiembre,Jueves,18,9,06:00-11:59,Heredia,San Francisco,-84.10970486,9.985398033,Heredia-Heredia-Heredia FRENTE A  MALL LAS FLORES,2,1,0,1,0
2014-241600239,Colisión entre vehículos,2014,Setiembre,Miércoles,24,19,18:00-23:59,Heredia,San Francisco,-84.11574833,9.986008334,Heredia-Heredia-San Francisco DEL REY 200MTS SUR FRENTE A LA PAOLA,5,2,3,0,0
2014-241600323,Colisión entre vehículos,2014,Noviembre,Jueves,27,14,12:00-17:59,Heredia,Heredia,-84.11883,9.999366668,Heredia-Heredia-Heredia FRENTE A FUNERARIA  DEL MAGISTERIO,2,1,1,0,0
2014-241600338,Colisión entre vehículos,2014,Diciembre,Sábado,6,8,06:00-11:59,Heredia,Heredia,-84.11322,10.00266,Heredia-Heredia-Heredia 100MTS SUR DE HOTEL VALLADO:ID,2,1,1,0,0
2014-242400012,Colisión entre vehículos,2014,Febrero,Sábado,8,0,00:00-05:59,Heredia,Heredia,-84.11638,9.998480004,Heredia-Heredia-Heredia FRENTE A LA MUSMANNI,3,2,1,0,0
2014-242400031,Colisión entre vehículos,2014,Abril,Domingo,13,0,00:00-05:59,Heredia,Heredia,-84.11683333,10.00449833,Heredia-Heredia-Heredia DEL AUTO MERCADO 100 METROS AL SUR CALLE 0 AVENIDA 13,4,2,2,0,0
2014-242400064,Colisión entre vehículos,2014,Junio,Jueves,5,17,12:00-17:59,Heredia,Heredia,-84.11525,10.00363,Heredia-Heredia-Heredia FRENTE A TALLER ADONAY,3,2,1,0,0
2014-242400119,Colisión entre vehículos,2014,Agosto,Martes,5,23,18:00-23:59,Heredia,Heredia,-84.121785,9.99653667,Heredia-Heredia-Heredia FRENTE A LAS BODEGAS DEL BANCO NACIONAL,2,1,1,0,0
2014-242600302,Colisión entre vehículos,2014,Noviembre,Lunes,24,5,00:00-05:59,Heredia,Ulloa,-84.11283333,9.965843334,Heredia-Heredia-Ulloa 50 SUR DE AUTOXIRRI FRENTE A ALMANESES QUIROS,3,1,2,0,0
2014-244600044,Colisión entre vehículos,2014,Mayo,Domingo,11,13,12:00-17:59,Heredia,Ulloa,-84.15043,9.974565001,Heredia-Heredia-Ulloa RUTA 1 SENTIDO 1 2 ENTRE CASTELA Y Y REAL CARIARI,3,2,1,0,0
2014-245700089,Colisión entre vehículos,2014,Mayo,Lunes,26,19,18:00-23:59,Heredia,Ulloa,-84.11192333,9.963521671,Heredia-Heredia-Ulloa REPUESTOS GIGANTE 100 MTS NORTE,5,2,3,0,0
2014-246000002,Colisión entre vehículos,2014,Enero,Martes,7,14,12:00-17:59,Heredia,Heredia,-84.11596333,9.999341666,Heredia-Heredia-Heredia ESQUINA SUROESTE DE LA MUSMANNI,2,1,1,0,0
2014-246000015,Colisión entre vehículos,2014,Febrero,Lunes,3,13,12:00-17:59,Heredia,San Francisco,-84.112155,9.983336664,Heredia-Heredia-San Francisco LA MILPA ABASTECEDOR LA CENTRAL 500 METROS AL SUR,2,1,1,0,0
2014-246000093,Colisión entre vehículos,2014,Mayo,Miércoles,14,16,12:00-17:59,Heredia,Heredia,-84.11686333,10.00292667,Heredia-Heredia-Heredia DE LA COMANDANCIA DE FUERZA PUBLICA 100 METROS AL NORTE,3,2,1,0,0
2014-246000210,Colisión entre vehículos,2014,Agosto,Domingo,17,17,12:00-17:59,Heredia,Heredia,-84.11753333,9.995633335,Heredia-Heredia-Heredia ESQUINA SURESTE DEL MERCADO MUNICIPAL,4,2,2,0,0
2014-246000217,Colisión entre vehículos,2014,Agosto,Miércoles,20,16,12:00-17:59,Heredia,Heredia,-84.119285,9.998301666,Heredia-Heredia-Heredia DE RELOJERIA ELOGA 100 METROS AL NORTE,4,3,1,0,0
2014-246000365,Colisión entre vehículos,2014,Noviembre,Viernes,28,6,06:00-11:59,Heredia,Heredia,-84.1133,10.00090167,Heredia-Heredia-Heredia ESQUINA NOROESTE DE RADIO VICTORIA,4,2,2,0,0
2014-249500063,Colisión entre vehículos,2014,Marzo,Jueves,6,16,12:00-17:59,Heredia,Heredia,-84.10959631,9.997592119,Heredia-San Pablo-San Pablo DE COLEGIO MARIA AUXILIADORA 50M NORTE,4,0,4,0,0
2014-249500164,Colisión entre vehículos,2014,Agosto,Jueves,14,16,12:00-17:59,Heredia,Heredia,-84.11438167,10.00371834,Heredia-Heredia-Heredia AVE 11 CALLE 5,3,2,1,0,0
2014-249500179,Colisión entre vehículos,2014,Setiembre,Martes,2,7,06:00-11:59,Heredia,Ulloa,-84.151485,9.982898336,Heredia-Heredia-Ulloa 100M NORTE DE CENADA ESQUINA DE FABRICA BTICINO,4,1,3,0,0
2014-252800092,Colisión entre vehículos,2014,Mayo,Sábado,10,9,06:00-11:59,Heredia,Heredia,-84.11394903,10.00443805,Heredia-San Rafael-San Rafael de importadora monge en san RFael 75 metros norte,4,2,2,0,0
2014-252800128,Colisión entre vehículos,2014,Julio,Jueves,3,9,06:00-11:59,Heredia,San Francisco,-84.13304833,9.996389996,Heredia-Heredia-San Francisco frente a plaza villa vieja Ruta 3,3,1,2,0,0
2014-252800134,Colisión entre vehículos,2014,Julio,Sábado,12,21,18:00-23:59,Heredia,Varablanca,-84.15788667,10.17294167,Heredia-Heredia-Varablanca heredia vara blanca de la fuerza publica 50 norte,3,2,1,0,0
2014-252800178,Colisión entre vehículos,2014,Setiembre,Miércoles,10,6,06:00-11:59,Heredia,San Francisco,-84.11435833,9.986400001,Heredia-Heredia-San Francisco 200 oeste de las delicias  del maiz,2,1,1,0,0
2014-252800182,Colisión entre vehículos,2014,Setiembre,Viernes,12,12,12:00-17:59,Heredia,Heredia,-84.11408667,10.00038167,Heredia-Heredia-Heredia 200 oeste de antiguo copy mundo,3,2,1,0,0
2014-252800186,Colisión entre vehículos,2014,Setiembre,Sábado,13,13,12:00-17:59,Heredia,Ulloa,-84.12692167,9.989758333,Heredia-Heredia-Ulloa cruce am pm costado suroeeste del hospital san vicente pau,3,2,1,0,0
2014-252800240,Colisión entre vehículos,2014,Noviembre,Sábado,15,14,12:00-17:59,Heredia,Heredia,-84.11588833,9.999676665,"Heredia-Heredia-Heredia cruce ,frente a musmani",4,1,3,0,0
2014-252800250,Colisión entre vehículos,2014,Noviembre,Martes,25,15,12:00-17:59,Heredia,Heredia,-84.11548,10.00045333,Heredia-Heredia-Heredia costado norte del liceo de heredia,5,2,3,0,0
2014-253100009,Colisión entre vehículos,2014,Enero,Lunes,20,17,12:00-17:59,Heredia,Heredia,-84.116845,10.002775,Heredia-Heredia-Heredia DEL AUTOMERCADO 200 SUR,3,2,1,0,0
2014-253100079,Colisión entre vehículos,2014,Abril,Miércoles,30,10,06:00-11:59,Heredia,Heredia,-84.11576167,9.99968,Heredia-Heredia-Heredia FRENTE A LA MUSMANI,4,2,2,0,0
2014-254200121,Colisión entre vehículos,2014,Agosto,Sábado,30,7,06:00-11:59,Heredia,Ulloa,-84.13497167,9.967645001,Heredia-Heredia-Ulloa 50 METROS OESTE DEL PUENTE DEL RIO VIRILLA RUTA 1,2,1,1,0,0
2014-315300115,Colisión entre vehículos,2014,Octubre,Domingo,12,12,12:00-17:59,Heredia,San Francisco,-84.11237953,9.974795453,Heredia-San Pablo-San Pablo DIAGONAL A BODEGAS DE LA MABE ANTIGUA,4,0,4,0,0
2014-315300170,Colisión entre vehículos,2014,Diciembre,Martes,2,14,12:00-17:59,Heredia,Ulloa,-84.13553833,9.971118335,Heredia-Heredia-Ulloa COSTADO SUR DE LA RENAULT FRENTE BOMBA UNO EN LAGUNILLA,2,1,1,0,0
2014-315300194,Colisión entre vehículos,2014,Diciembre,Lunes,15,18,18:00-23:59,Heredia,Heredia,-84.11423167,9.996981665,Heredia-Heredia-Heredia DIAGONAL A HELADERIA CROPS,4,2,2,0,0
2014-316900037,Colisión entre vehículos,2014,Octubre,Sábado,4,6,06:00-11:59,Heredia,Heredia,-84.11770833,10.00559833,Heredia-Heredia-Heredia DE LA ESCUELA DE FATIMA  100M NORTE,2,0,2,0,0
